Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,449,1799,2066
30502,APURIMAC,COTABAMBAS,COTABAMBAS,94,295,1330
30503,APURIMAC,COTABAMBAS,COYLLURQUI,179,743,2256
30504,APURIMAC,COTABAMBAS,HAQUIRA,313,1487,1784
30505,APURIMAC,COTABAMBAS,MARA,158,808,1784
30506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,1151,881,2011
30601,APURIMAC,CHINCHEROS,CHINCHEROS,243,893,711
30602,APURIMAC,CHINCHEROS,ANCO_HUALLO,463,2039,1569
30603,APURIMAC,CHINCHEROS,COCHARCAS,36,81,765
30604,APURIMAC,CHINCHEROS,HUACCANA,103,649,1692
30605,APURIMAC,CHINCHEROS,OCOBAMBA,184,866,1824
30606,APURIMAC,CHINCHEROS,ONGOY,112,276,946
30607,APURIMAC,CHINCHEROS,URANMARCA,60,696,382
30608,APURIMAC,CHINCHEROS,RANRACANCHA,57,920,519
30609,APURIMAC,CHINCHEROS,ROCCHACC,38,395,839
30610,APURIMAC,CHINCHEROS,EL PORVENIR,25,334,458
30611,APURIMAC,CHINCHEROS,LOS CHANKAS,22,203,296
,APURIMAC,CHINCHEROS,AHUAYRO,20,165,296
30701,APURIMAC,GRAU,CHUQUIBAMBILLA,186,737,782
30702,APURIMAC,GRAU,CURPAHUASI,45,340,497
30703,APURIMAC,GRAU,GAMARRA,58,99,1136
30704,APURIMAC,GRAU,HUAYLLATI,33,208,263
30705,APURIMAC,GRAU,MAMARA,16,62,244
30706,APURIMAC,GRAU,MICAELA BASTIDAS,43,85,346
30707,APURIMAC,GRAU,PATAYPAMPA,14,39,356
30708,APURIMAC,GRAU,PROGRESO,108,446,780
30709,APURIMAC,GRAU,SAN ANTONIO,17,35,157
30710,APURIMAC,GRAU,SANTA ROSA,16,14,305
30711,APURIMAC,GRAU,TURPAY,9,58,151
30712,APURIMAC,GRAU,VILCABAMBA,55,227,237
30713,APURIMAC,GRAU,VIRUNDO,10,46,296
30714,APURIMAC,GRAU,CURASCO,22,89,383
40102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,18915,3842,411
40103,AREQUIPA,AREQUIPA,CAYMA,19416,5744,879
40104,AREQUIPA,AREQUIPA,CERRO COLORADO,35658,21671,2547
40105,AREQUIPA,AREQUIPA,CHARACATO,3516,631,66
40106,AREQUIPA,AREQUIPA,CHIGUATA,695,200,259
40107,AREQUIPA,AREQUIPA,JACOBO HUNTER,13331,2447,264
40108,AREQUIPA,AREQUIPA,LA JOYA,1422,2930,1083
40109,AREQUIPA,AREQUIPA,MARIANO MELGAR,13335,4758,323
40110,AREQUIPA,AREQUIPA,MIRAFLORES,11812,1756,184
40111,AREQUIPA,AREQUIPA,MOLLEBAYA,1199,524,179
40112,AREQUIPA,AREQUIPA,PAUCARPATA,28986,6301,995
40113,AREQUIPA,AREQUIPA,POCSI,47,39,24
40114,AREQUIPA,AREQUIPA,POLOBAYA,138,83,32
40115,AREQUIPA,AREQUIPA,QUEQUENA,144,347,132
40116,AREQUIPA,AREQUIPA,SABANDIA,1256,214,63
40117,AREQUIPA,AREQUIPA,SACHACA,3591,895,228
40118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,90,118,59
40119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,136,196,311
40120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,71,118,72
40121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,312,982,264
40122,AREQUIPA,AREQUIPA,SOCABAYA,14221,3399,642
40123,AREQUIPA,AREQUIPA,TIABAYA,3433,859,197
40124,AREQUIPA,AREQUIPA,UCHUMAYO,1144,586,68
40125,AREQUIPA,AREQUIPA,VITOR,290,286,83
40126,AREQUIPA,AREQUIPA,YANAHUARA,435,63,23
40127,AREQUIPA,AREQUIPA,YARABAMBA,263,136,94
40128,AREQUIPA,AREQUIPA,YURA,6925,4524,536
40129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,7371,1108,207
40201,AREQUIPA,CAMANA,CAMANA,842,1064,210
40202,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,131,399,178
40203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,401,569,170
40204,AREQUIPA,CAMANA,MARISCAL CACERES,543,522,365
