Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,312,982,264
AREQUIPA,AREQUIPA,SOCABAYA,14221,3399,642
AREQUIPA,AREQUIPA,TIABAYA,3433,859,197
AREQUIPA,AREQUIPA,UCHUMAYO,1144,586,68
AREQUIPA,AREQUIPA,VITOR,290,286,83
AREQUIPA,AREQUIPA,YANAHUARA,435,63,23
AREQUIPA,AREQUIPA,YARABAMBA,263,136,94
AREQUIPA,AREQUIPA,YURA,6925,4524,536
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,7371,1108,207
AREQUIPA,CAMANA,CAMANA,842,1064,210
AREQUIPA,CAMANA,JOSE MARIA QUIMPER,131,399,178
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,401,569,170
AREQUIPA,CAMANA,MARISCAL CACERES,543,522,365
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,332,648,192
AREQUIPA,CAMANA,OCOÑA,701,238,188
AREQUIPA,CAMANA,QUILCA,81,72,14
AREQUIPA,CAMANA,SAMUEL PASTOR,1630,1347,758
AREQUIPA,CARAVELI,CARAVELI,198,618,189
AREQUIPA,CARAVELI,ACARI,373,535,82
AREQUIPA,CARAVELI,ATICO,107,517,128
AREQUIPA,CARAVELI,ATIQUIPA,94,50,33
AREQUIPA,CARAVELI,BELLA UNION,184,435,148
AREQUIPA,CARAVELI,CAHUACHO,47,164,66
AREQUIPA,CARAVELI,CHALA,388,1049,184
AREQUIPA,CARAVELI,CHAPARRA,359,88,58
AREQUIPA,CARAVELI,HUANUHUANU,297,336,101
AREQUIPA,CARAVELI,JAQUI,208,172,42
AREQUIPA,CARAVELI,LOMAS,199,37,44
AREQUIPA,CARAVELI,QUICACHA,169,174,68
AREQUIPA,CARAVELI,YAUCA,315,237,102
AREQUIPA,CASTILLA,APLAO,1124,1397,371
AREQUIPA,CASTILLA,ANDAGUA,28,157,207
AREQUIPA,CASTILLA,AYO,19,54,43
AREQUIPA,CASTILLA,CHACHAS,54,195,285
AREQUIPA,CASTILLA,CHILCAYMARCA,31,32,164
AREQUIPA,CASTILLA,CHOCO,10,52,227
AREQUIPA,CASTILLA,HUANCARQUI,236,144,34
AREQUIPA,CASTILLA,MACHAGUAY,45,83,124
AREQUIPA,CASTILLA,ORCOPAMPA,233,568,262
AREQUIPA,CASTILLA,PAMPACOLCA,207,184,99
AREQUIPA,CASTILLA,TIPAN,45,57,78
AREQUIPA,CASTILLA,UÑON,14,26,23
AREQUIPA,CASTILLA,URACA,405,562,280
AREQUIPA,CASTILLA,VIRACO,35,169,200
AREQUIPA,CAYLLOMA,CHIVAY,800,1025,330
AREQUIPA,CAYLLOMA,ACHOMA,92,135,110
AREQUIPA,CAYLLOMA,CABANACONDE,69,320,115
AREQUIPA,CAYLLOMA,CALLALLI,139,169,354
AREQUIPA,CAYLLOMA,CAYLLOMA,138,346,392
AREQUIPA,CAYLLOMA,COPORAQUE,91,172,108
AREQUIPA,CAYLLOMA,HUAMBO,66,120,126
AREQUIPA,CAYLLOMA,HUANCA,37,172,222
AREQUIPA,CAYLLOMA,ICHUPAMPA,56,78,125
AREQUIPA,CAYLLOMA,LARI,35,203,181
AREQUIPA,CAYLLOMA,LLUTA,33,121,178
AREQUIPA,CAYLLOMA,MACA,59,115,129
AREQUIPA,CAYLLOMA,MADRIGAL,83,144,48
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,91,72,236
AREQUIPA,CAYLLOMA,SIBAYO,38,50,155
AREQUIPA,CAYLLOMA,TAPAY,45,84,96
AREQUIPA,CAYLLOMA,TISCO,58,54,468
AREQUIPA,CAYLLOMA,TUTI,47,75,121
AREQUIPA,CAYLLOMA,YANQUE,136,233,328
AREQUIPA,CAYLLOMA,MAJES,6138,14184,2344
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,143,562,340
AREQUIPA,CONDESUYOS,ANDARAY,33,58,121
AREQUIPA,CONDESUYOS,CAYARANI,54,164,709
AREQUIPA,CONDESUYOS,CHICHAS,28,38,186
AREQUIPA,CONDESUYOS,IRAY,29,95,108
AREQUIPA,CONDESUYOS,RIO GRANDE,388,287,100
AREQUIPA,CONDESUYOS,SALAMANCA,29,84,119
AREQUIPA,CONDESUYOS,YANAQUIHUA,226,444,372
AREQUIPA,ISLAY,MOLLENDO,2021,2843,440
AREQUIPA,ISLAY,COCACHACRA,1043,1797,329
AREQUIPA,ISLAY,DEAN VALDIVIA,586,722,150
AREQUIPA,ISLAY,ISLAY,356,876,175
AREQUIPA,ISLAY,MEJIA,225,57,38
AREQUIPA,ISLAY,PUNTA DE BOMBON,919,1628,378
AREQUIPA,LA UNION,COTAHUASI,118,405,248
AREQUIPA,LA UNION,ALCA,23,365,255
AREQUIPA,LA UNION,CHARCANA,25,131,98
AREQUIPA,LA UNION,HUAYNACOTAS,28,302,214
AREQUIPA,LA UNION,PAMPAMARCA,25,143,238
AREQUIPA,LA UNION,PUYCA,33,237,478
AREQUIPA,LA UNION,QUECHUALLA,16,65,87
AREQUIPA,LA UNION,SAYLA,8,47,74
AREQUIPA,LA UNION,TAURIA,16,60,49
AREQUIPA,LA UNION,TOMEPAMPA,51,141,60
AREQUIPA,LA UNION,TORO,14,101,128
AYACUCHO,HUAMANGA,AYACUCHO,41718,76645,81696
AYACUCHO,HUAMANGA,ACOCRO,41718,76645,81696
AYACUCHO,HUAMANGA,ACOS VINCHOS,60,650,1225
AYACUCHO,HUAMANGA,CARMEN ALTO,2091,2946,2413
AYACUCHO,HUAMANGA,CHIARA,174,991,1543
AYACUCHO,HUAMANGA,OCROS,168,1049,1278
AYACUCHO,HUAMANGA,PACAYCASA,195,683,336
